//X Y Z Nx Ny Nz
0.38829863 0.51053238 1.27353358 0.435148 0.900351 -0.003920
0.48340279 0.45969817 1.99129927 0.498528 0.850604 0.167162
0.51554871 0.44251582 1.47781837 0.514193 0.856989 -0.034280
0.49015567 0.45608872 0.69130969 0.514815 0.857119 0.017659
0.49525559 0.45336273 0.75746536 0.502616 0.864500 -0.004021
0.48391384 0.45942506 0.35602698 0.498291 0.867000 -0.004008
0.48002225 0.46150512 0.48061353 0.507781 0.861485 -0.001340
0.48792037 0.45728347 0.83390188 0.471891 0.881656 0.001322
0.49939686 0.45114917 1.26237738 0.471891 0.881656 0.001322
0.43157721 0.48739952 0.23528454 0.408984 0.911941 0.033089
0.53041202 0.43457124 1.74034691 0.506950 0.861949 0.006723
0.51648015 0.44201797 0.86887574 0.544695 0.838310 0.023324
0.46815205 0.46784988 0.81717670 0.471891 0.881656 0.001322
0.53988314 0.42950881 0.60095203 0.508696 0.860556 0.025912
0.58792245 0.39457309 1.13059449 0.633537 0.773712 -0.001374
0.57342088 0.40647417 0.70198464 0.514815 0.857119 0.017659
0.57033962 0.40900293 1.87377357 0.633537 0.773712 -0.001374
0.56747001 0.41135794 0.44650507 0.505784 0.862651 0.004025
0.57779789 0.40288207 0.42092681 0.504619 0.863341 0.001339
0.58720881 0.39515877 1.75582325 0.593906 0.804334 -0.017997
0.59108257 0.39197963 1.59033549 0.606072 0.794503 -0.037967
0.55691314 0.42002174 1.97401261 0.556195 0.830860 0.017853
0.57646590 0.40397525 1.99734569 0.556195 0.830860 0.017853
0.62069076 0.36768088 1.95618439 0.633537 0.773712 -0.001374
0.63359308 0.35709226 1.64493740 0.640861 0.767655 -0.001378
0.56426394 0.41398907 0.37065747 0.506611 0.862174 0.001337
0.60566258 0.38001418 1.41394746 0.559390 0.828877 -0.006805
0.57058632 0.40880048 1.68010628 0.543937 0.838627 -0.028918
0.59758079 0.38664669 1.02992630 0.633537 0.773712 -0.001374
0.60867107 0.37754515 1.17162323 0.633537 0.773712 0.001374
0.57638299 0.40404326 1.72159266 0.556195 0.830860 -0.017853
0.68770999 0.31268013 1.07697594 0.698750 0.715354 -0.004151
0.64214015 0.35007796 0.99271250 0.633537 0.773712 0.001374
0.69159597 0.30949068 1.57503319 0.689844 0.723564 -0.023885
0.69368494 0.30777693 0.34113771 0.720842 0.693064 -0.006945
0.68668300 0.31352320 0.39075750 0.711101 0.702686 -0.023844
0.67369896 0.32417864 0.82685864 0.633537 0.773712 0.001374
0.67286664 0.32486168 0.88306594 0.633537 0.773712 0.001374
0.69063878 0.31027654 0.97551191 0.701550 0.712619 0.001384
0.69140261 0.30964929 1.75105977 0.659730 0.751398 0.012500
0.59825784 0.38609132 0.21880314 0.633537 0.773712 -0.001374
0.68578827 0.31425741 0.61832464 0.722192 0.691579 0.012524
0.62372202 0.36519325 0.87150443 0.603278 0.797530 -0.001368
0.68421358 0.31554943 1.20559859 0.633537 0.773712 0.001374
0.57125664 0.40825030 0.28566897 0.519995 0.853987 -0.017650
0.67437774 0.32362157 0.90771270 0.701550 0.712619 0.001384
0.67234766 0.32528740 1.23811567 0.633537 0.773712 0.001374
0.71539050 0.28666833 0.62100667 0.731734 0.681172 0.023876
0.71815157 0.28330344 1.72302318 0.740862 0.671622 0.006924
0.74808908 0.24682456 1.85050166 0.767863 0.640577 -0.006918
0.73381186 0.26422194 0.59273994 0.760126 0.649763 0.004139
0.76623690 0.22471166 1.60851669 0.754002 0.656801 -0.009720
0.71621084 0.28566879 0.53556323 0.763997 0.645183 0.006908
0.78060544 0.20720348 1.89130867 0.773712 0.633537 -0.001374
0.78725606 0.19909990 1.46157312 0.784306 0.619922 -0.023682
0.80401587 0.17867789 1.84636688 0.773712 0.633537 -0.001374
0.76570344 0.22536190 1.11894691 0.747332 0.664449 -0.001381
0.75595093 0.23724526 1.09023666 0.747332 0.664449 -0.001381
0.71610880 0.28579244 1.83031499 0.764008 0.645193 -0.004145
0.71764874 0.28391618 1.60712957 0.706990 0.706990 -0.018200
0.71171516 0.29114681 0.40916979 0.758957 0.651127 -0.004147
0.71910781 0.28213817 1.87793541 0.777297 0.628303 -0.032329
0.76462513 0.22667560 1.50513554 0.757890 0.652203 -0.015297
0.78506029 0.20177552 0.24095477 0.773712 0.633537 0.001374
0.81230932 0.16857243 0.21044809 0.773712 0.633537 0.001374
0.73754013 0.25967908 0.28848913 0.762843 0.646547 0.006922
0.79151332 0.19391243 0.30351865 0.773712 0.633537 -0.001374
0.78874749 0.19728267 0.37813568 0.793434 0.608529 0.012419
0.77681643 0.21182071 0.99213326 0.778154 0.627813 -0.018097
0.79941148 0.18428853 0.35599208 0.804739 0.593615 0.004113
0.75973749 0.23263140 0.70142853 0.773712 0.633537 0.001374
0.76205915 0.22980249 0.93586123 0.743757 0.668120 -0.021010
0.77427030 0.21492319 1.16336071 0.811440 0.583960 -0.023580
0.72306538 0.27731669 0.23477143 0.765647 0.642920 0.020919
0.79513884 0.18949473 0.54364264 0.773712 0.633537 -0.001374
0.78306293 0.20420930 0.47095013 0.773712 0.633537 0.001374
0.78955907 0.19629368 0.77421367 0.793899 0.607590 -0.023636
0.80562401 0.17671850 0.30805206 0.773712 0.633537 -0.001374
0.87743467 0.05923115 1.12469816 0.896467 0.442221 0.028056
0.84676433 0.11661130 0.94089967 0.809344 0.586461 -0.032039
0.87857330 0.05710088 1.59890437 0.883337 0.468736 -0.001320
0.84329182 0.12310794 0.69972652 0.850028 0.526721 0.004041
0.83271474 0.14289623 1.42567956 0.834809 0.549617 0.031842
0.87716562 0.05973449 1.49336135 0.881656 0.471891 0.001322
0.84758657 0.11507299 1.20492303 0.832222 0.554361 -0.009534
0.87545133 0.06294170 1.86056256 0.872401 0.487398 -0.036862
0.91134989 -0.00421979 1.95229471 0.938157 0.319055 -0.134410
0.84851611 0.11333402 0.86492467 0.881656 0.471891 0.001322
0.86576647 0.08106085 1.32316065 0.881656 0.471891 -0.001322
0.84450191 0.12084403 1.40511584 0.847731 0.530341 0.009495
0.84256780 0.12446249 1.36366403 0.778622 0.622027 -0.082647
0.85456860 0.10201052 0.94318855 0.881656 0.471891 0.001322
0.84396476 0.12184900 0.91636175 0.809344 0.586461 -0.032039
0.86887985 0.07523610 1.27996814 0.881656 0.471891 -0.001322
0.86512542 0.08226016 0.48096830 0.881656 0.471891 0.001322
0.90148449 0.01423696 0.79245853 0.894559 0.446617 0.017229
0.89943177 0.01807749 0.52643454 0.897799 0.440356 0.006572
0.90661460 0.00463930 0.40675321 0.891519 0.452981 -0.001313
0.87297773 0.06756948 0.81949055 0.883337 0.468736 0.001320
0.86682975 0.07907158 0.49730489 0.881656 0.471891 0.001322
0.87020838 0.07275060 0.60987115 0.881656 0.471891 0.001322
0.85605931 0.09922162 0.42241037 0.856174 0.515354 -0.037105
0.91552812 -0.01203668 1.45111251 0.918880 0.354284 0.173613
0.88148588 0.05165182 0.63298571 0.900734 0.433785 0.022552
0.90539145 0.00692759 0.57955056 0.899331 0.437266 -0.001305
0.89360547 0.02897772 0.39363113 0.891519 0.452981 -0.001313
0.91372186 -0.00865745 1.04201877 0.897244 0.441376 0.011858
0.89179361 0.03236745 0.67089319 0.894125 0.447723 -0.009245
0.86913562 0.07475758 0.42063582 0.881656 0.471891 -0.001322
0.91752595 -0.01577444 1.42988169 0.918880 0.354284 0.173613
0.91813457 -0.01691314 0.77919483 0.927679 0.372878 -0.019354
0.92927712 -0.04545426 0.37901330 0.904847 0.425734 0.001302
0.94749928 -0.10552541 1.45839441 0.944584 0.326727 0.031783
0.96279532 -0.15595022 1.98892474 0.956644 0.291258 -0.001219
0.94921505 -0.11118159 1.96310496 0.947186 0.320681 -0.001238
0.92469215 -0.03033940 0.83961135 0.927630 0.371835 -0.035226
0.93017238 -0.04840553 1.14114845 0.896467 0.442221 0.028056
0.96339351 -0.15792230 1.89203262 0.964591 0.263727 -0.003613
0.92452288 -0.02978136 1.60366595 0.883337 0.468736 0.001320
0.96249014 -0.15494420 2.00704408 0.956644 0.291258 -0.001219
0.93169093 -0.05341156 1.77526557 0.922994 0.375935 0.082194
0.92975473 -0.04702868 0.46790254 0.934849 0.354861 0.011447
0.94455636 -0.09582371 1.79943120 0.956644 0.291258 0.001219
0.92457628 -0.02995747 0.85792613 0.927630 0.371835 -0.035226
0.93914050 -0.07796986 0.87250757 0.950127 0.311741 -0.008694
0.92639124 -0.03594059 0.93349314 0.953663 0.300571 0.013606
0.93560553 -0.06631647 0.61841518 0.926251 0.376888 0.003833
0.94064319 -0.08292364 1.29929042 0.952066 0.305890 -0.001228
0.96833467 -0.17421113 1.27299631 0.971653 0.234786 -0.027693
0.96022165 -0.14746590 0.25963655 0.977094 0.182044 -0.110217
0.97174090 -0.18544018 1.13490069 0.991232 0.117488 0.060455
0.97606677 -0.19970079 0.59269595 0.976521 0.214243 -0.022490
0.95334351 -0.12479138 0.80017722 0.954396 0.298479 -0.006142
0.97757137 -0.20466076 0.31934726 0.977094 0.182044 -0.110217
0.97331536 -0.19063063 1.67563915 0.984848 0.163553 0.057655
0.95734042 -0.13796762 0.49805677 0.959899 0.280022 -0.013451
0.97267324 -0.18851385 0.69387114 0.984821 0.167455 0.045669
0.96435523 -0.16109252 0.89603245 0.956644 0.291258 -0.001219
0.95224828 -0.12118092 0.53846461 0.958853 0.283879 -0.003655
0.95446533 -0.12848945 0.98065341 0.957976 0.286783 0.006102
0.94931692 -0.11151727 0.82638240 0.955999 0.293304 -0.006136
0.95836008 -0.14132899 0.95116615 0.958188 0.286117 0.003653
0.98004192 -0.21280524 1.84332120 0.965594 0.259828 -0.010877
0.98252851 -0.23295665 1.39286983 0.991338 0.131223 -0.005514
0.98159480 -0.22347690 0.51847917 0.976047 0.214371 -0.037126
0.98911399 -0.29981890 0.99885917 0.995277 0.097074 0.001067
0.99301368 -0.33941293 1.71022749 0.995277 0.097074 0.001067
0.99293178 -0.33858159 1.62887716 0.995313 0.095973 -0.011862
0.98722053 -0.28059459 1.28004622 0.988750 0.148030 -0.021470
0.98441041 -0.25206378 1.28683329 0.988750 0.148030 -0.021470
0.99612588 -0.37101114 1.68911183 0.995277 0.097074 0.001067
0.98370427 -0.24489450 1.86394930 0.974346 0.189352 0.121637
0.98655760 -0.27386403 1.71036577 0.992178 0.124435 -0.009911
0.98627937 -0.27103955 1.46392357 0.995277 0.097074 -0.001067
0.99124241 -0.32142925 1.34028590 0.995277 0.097074 0.001067
0.98810738 -0.28959885 1.04474735 0.995277 0.097074 0.001067
0.98650473 -0.27332744 1.06357372 0.993384 0.113310 0.018702
0.99126154 -0.32162306 1.43138123 0.995277 0.097074 0.001067
0.98147041 -0.22221386 1.04662287 0.981778 0.186949 -0.034098
0.99180788 -0.32717055 0.74610782 0.998347 0.057019 -0.007257
0.99973857 -0.40769094 1.21659756 0.997472 -0.070422 -0.009460
0.98573309 -0.26549256 0.29117340 0.977094 0.182044 -0.110217
0.99202335 -0.32935762 0.95511127 0.995277 0.097074 -0.001067
0.99606276 -0.37037036 0.39932969 0.997737 0.054422 0.039483
0.99909496 -0.40115571 1.17669690 0.996686 -0.055311 -0.059649
0.99832863 -0.39337519 1.61485410 0.996437 0.084011 -0.007444
0.98977840 -0.30656472 0.68106377 0.990556 0.136743 0.010006
0.98657274 -0.27401754 0.48022157 0.994870 0.100459 0.011882
0.98817974 -0.29033360 0.53592741 0.994734 0.099364 0.025114
0.99621862 -0.37195250 1.17176545 0.995277 0.097074 0.001067
0.99085510 -0.31749713 0.79065847 0.998347 0.057019 -0.007257
0.99448591 -0.35436061 0.48250133 0.998662 0.046861 0.021869
0.98874706 -0.29609397 0.70474482 0.990556 0.136743 0.010006
0.99404985 -0.34993288 1.40216506 0.997534 0.064941 -0.026615
0.99542880 -0.36393315 0.77178872 0.998347 0.057019 -0.007257
0.99743521 -0.43638557 0.82007855 0.998469 0.054838 0.007243
0.98912567 -0.52075261 1.27976227 0.992395 -0.122260 0.014319
0.99641997 -0.44669306 0.57232088 0.998982 -0.042356 -0.015496
0.98674828 -0.54489034 1.68540800 0.986373 -0.164207 0.010192
0.99484378 -0.46269637 1.36484301 0.996719 0.026880 -0.076340
0.99030375 -0.50879186 1.18986332 0.995888 -0.090535 -0.003195
0.99870646 -0.42347825 1.55444169 0.997645 0.068188 0.007343
0.98578554 -0.55466557 1.81650519 0.989539 -0.143913 0.010040
0.99711603 -0.43962619 2.03167033 0.995277 -0.097074 -0.001067
0.99198306 -0.49174166 2.01506329 0.995277 -0.097074 0.001067
0.99768001 -0.43389997 0.74827784 0.998469 0.054838 0.007243
0.98972070 -0.51471150 1.92303026 0.995277 -0.097074 0.001067
0.98834884 -0.52863991 1.90538573 0.988640 -0.149589 0.014622
0.99208218 -0.49073541 1.88045871 0.995277 -0.097074 0.001067
0.99998981 -0.41044825 1.46009457 0.998948 0.036307 -0.028008
0.98246258 -0.58840358 1.84731746 0.988462 -0.150246 0.019204
0.98296297 -0.58332360 1.70554757 0.987081 -0.160219 0.001120
0.98229390 -0.59011650 0.70225906 0.979808 -0.197380 0.031912
0.99578607 -0.45312944 0.50323343 0.998923 -0.044420 -0.013429
0.98285770 -0.58439183 1.51625764 0.978292 -0.206018 -0.022368
0.98682708 -0.54409063 0.55704534 0.995277 -0.097074 0.001067
0.98674589 -0.54491502 0.20876673 0.974823 -0.221279 -0.027510
0.98174554 -0.59568375 0.52457917 0.986112 -0.166046 0.003389
0.99451917 -0.46599251 0.49858868 0.997856 -0.062300 -0.020063
0.99509156 -0.46018076 0.56782138 0.998982 -0.042356 -0.015496
0.98591840 -0.55331612 0.28318444 0.978753 -0.204638 -0.012863
0.98751646 -0.53709102 1.19729030 0.992594 -0.120348 0.016562
0.98270333 -0.58595920 1.54822457 0.995277 -0.097074 -0.001067
0.98910356 -0.52097678 1.14516783 0.995286 -0.095970 -0.014018
0.98133337 -0.59986907 1.19192064 0.984055 -0.177565 -0.010310
0.99098557 -0.50186884 0.45269865 0.995277 -0.097074 0.001067
0.98192328 -0.59387881 1.56406224 0.995277 -0.097074 0.001067
0.95592541 -0.68738806 1.31439996 0.956644 -0.291258 -0.001219
0.97068626 -0.63872761 1.28431582 0.985543 -0.162504 0.047933
0.97251755 -0.63269055 1.70288289 0.963018 -0.193129 -0.187874
0.96554673 -0.65567052 1.42136645 0.961810 -0.273587 0.008512
0.95565200 -0.68828934 1.96148109 0.956644 -0.291258 0.001219
0.96451461 -0.65907305 2.01317978 0.956644 -0.291258 -0.001219
0.93307984 -0.76270080 1.97845709 0.928799 -0.368654 0.037777
0.94320375 -0.72932625 1.85802031 0.956644 -0.291258 0.001219
0.96047813 -0.67237955 2.01831532 0.956644 -0.291258 -0.001219
0.96858913 -0.64564091 2.02040577 0.956644 -0.291258 -0.001219
0.97691494 -0.61819410 1.10715961 0.976615 -0.212928 -0.029739
0.95228148 -0.69940072 1.44519889 0.956644 -0.291258 -0.001219
0.97153723 -0.63592219 0.42693174 0.958853 -0.283879 0.003655
0.96962839 -0.64221495 1.84013402 0.972654 -0.232258 0.001179
0.97205704 -0.63420862 1.27182400 0.985543 -0.162504 0.047933
0.93985218 -0.74037516 1.79389942 0.956644 -0.291258 0.001219
0.96255004 -0.66554934 1.33717549 0.956644 -0.291258 -0.001219
0.93990982 -0.74018502 1.39949536 0.956644 -0.291258 -0.001219
0.93816942 -0.74592251 0.48756498 0.944882 -0.327410 -0.001245
0.92784607 -0.77995437 0.76675630 0.898320 -0.439324 -0.003934
0.94955522 -0.70838815 0.23071025 0.956644 -0.291258 0.001219
0.93780839 -0.74711257 0.37395245 0.944326 -0.328951 0.006254
0.93735963 -0.74859214 0.25016323 0.939536 -0.342448 -0.001254
0.96452612 -0.65903509 0.34682804 0.966927 -0.254709 -0.013279
0.92618674 -0.78542453 0.28265852 0.923371 -0.383115 -0.024675
0.96484572 -0.65798151 0.44167948 0.958853 -0.283879 0.003655
0.95493108 -0.69066620 0.54755068 0.959049 -0.283217 0.003647
0.93606573 -0.75285745 0.42616192 0.945912 -0.324419 0.001243
0.94222820 -0.73254222 0.61373687 0.956644 -0.291258 -0.001219
0.94688678 -0.71718472 1.09201062 0.956644 -0.291258 0.001219
0.94343841 -0.72855282 1.10153973 0.935239 -0.348577 -0.061823
0.93597770 -0.75314760 1.16785610 0.925096 -0.379095 -0.021995
0.95021313 -0.70621908 1.11874151 0.957775 -0.287455 0.006116
0.93274939 -0.76379013 0.65633214 0.921485 -0.386259 -0.040867
0.87640822 -0.88184249 1.44566548 0.857011 -0.515283 -0.004036
0.88154161 -0.87223852 1.46010327 0.881656 -0.471891 0.001322
0.89465415 -0.84770668 1.18454981 0.908265 -0.418297 0.009122
0.87434459 -0.88570321 1.22155905 0.869945 -0.493103 -0.006682
0.89143175 -0.85373545 1.09637690 0.916268 -0.400462 0.009072
0.91128272 -0.81659681 0.45323187 0.913804 -0.404816 -0.032965
0.85823572 -0.91584086 1.70520627 0.824099 -0.566311 0.012341
0.92382342 -0.79313481 0.50246823 0.935169 -0.354019 0.011420
0.85569751 -0.92058945 1.66508853 0.826252 -0.563166 0.012332
0.90203702 -0.83389431 0.70151073 0.894671 -0.446677 -0.006588
0.86269891 -0.90749079 1.78380692 0.855088 -0.518439 0.006733
0.91149127 -0.81620669 0.45817766 0.913804 -0.404816 -0.032965
0.89231384 -0.85208517 1.11182308 0.915238 -0.402911 0.001287
0.87536997 -0.88378495 1.97433352 0.883107 -0.468942 0.014696
0.89888978 -0.83978242 0.96220016 0.881656 -0.471891 -0.001322
0.87928075 -0.87646836 1.10454214 0.871747 -0.489940 -0.004005
0.92339766 -0.79393142 0.90859449 0.887656 -0.460413 -0.009288
0.87264538 -0.88888228 0.82228029 0.891934 -0.451931 0.014578
0.90040559 -0.83694655 0.29094359 0.905343 -0.424583 0.009145
0.90025514 -0.83722794 0.46322396 0.913804 -0.404816 -0.032965
0.83615953 -0.95714247 1.91249049 0.854788 -0.518834 0.012192
0.85783708 -0.91658658 0.68327820 0.881656 -0.471891 0.001322
0.86754417 -0.89842594 0.22741918 0.869469 -0.493986 0.001331
0.85044593 -0.93041450 1.53385627 0.856712 -0.515651 -0.012181
0.87948710 -0.87608230 0.23411743 0.869496 -0.492760 0.034125
0.85524535 -0.92143536 0.80813265 0.839678 -0.543001 0.009526
0.85557884 -0.92081141 0.63441789 0.881656 -0.471891 0.001322
0.87307042 -0.88808697 0.37749824 0.874156 -0.485642 0.001331
0.90319717 -0.83172381 0.52211058 0.916173 -0.399425 0.032956
0.89974219 -0.83818769 0.23497595 0.907025 -0.416228 -0.063722
0.86307180 -0.90679318 1.33319998 0.851975 -0.523567 0.004038
0.86393899 -0.90517080 0.60400295 0.881656 -0.471891 0.001322
0.79853880 -1.00604260 1.32579947 0.810590 -0.584574 -0.034879
0.74274844 -1.07402301 1.80147552 0.750285 -0.660865 0.018163
0.82036990 -0.97944146 1.18466187 0.806701 -0.588367 0.055292
0.80829507 -0.99415457 1.46287644 0.815309 -0.578828 0.015124
0.81160975 -0.99011564 1.93488944 0.819620 -0.567869 0.075811
0.81529844 -0.98562098 1.34676743 0.818460 -0.574430 -0.012339
0.82108581 -0.97856909 0.30377397 0.853586 -0.520809 0.012175
0.79528505 -1.01000726 0.86577970 0.818485 -0.574448 -0.009597
0.76763541 -1.04369831 1.78554952 0.773712 -0.633537 0.001374
0.81326759 -0.98809558 1.85451508 0.809989 -0.584600 -0.046486
0.79800338 -1.00669503 0.77733278 0.818485 -0.574448 -0.009597
0.82058102 -0.97918421 1.07221258 0.867668 -0.497143 0.001333
0.79430062 -1.01120675 0.90470016 0.773712 -0.633537 0.001374
0.75808746 -1.05533242 1.51105881 0.773712 -0.633537 0.001374
0.79168081 -1.01439905 1.65070438 0.793430 -0.601260 0.094629
0.76144630 -1.05123973 1.38026214 0.771254 -0.636526 -0.001375
0.74142843 -1.07563138 1.99225628 0.750192 -0.658038 -0.064796
0.71433026 -1.10865057 1.67738402 0.723512 -0.689795 -0.026693
0.76115346 -1.05159652 0.45724428 0.773712 -0.633537 -0.001374
0.81526375 -0.98566329 0.22911455 0.860883 -0.508396 0.020336
0.72146469 -1.09995711 0.51919234 0.701368 -0.712567 -0.018199
0.72910923 -1.09064245 0.64729285 0.705713 -0.708486 -0.004159
0.80197430 -1.00185645 0.31091356 0.773712 -0.633537 -0.001374
0.74452770 -1.07185495 0.65684044 0.743692 -0.668346 0.015348
0.73077327 -1.08861470 1.24511850 0.715034 -0.698043 0.038230
0.77079314 -1.03985059 0.80469823 0.773712 -0.633537 0.001374
0.74265361 -1.07413852 1.47702336 0.771254 -0.636526 -0.001375
0.71421123 -1.10879552 1.17273247 0.698755 -0.715359 0.001384
0.74293125 -1.07380033 1.14174926 0.743581 -0.668528 -0.012509
0.82055426 -0.97921675 0.21720420 0.860883 -0.508396 0.020336
0.74195331 -1.07499182 0.97806132 0.561516 -0.779795 -0.276803
0.68252337 -1.13762724 1.11089468 0.672411 -0.739793 0.023864
0.69015026 -1.13136804 0.72417617 0.690325 -0.721768 -0.050024
0.68712288 -1.13385260 1.70298636 0.629616 -0.773692 0.070598
0.69438750 -1.12789071 0.65171409 0.692551 -0.720761 -0.029620
0.70544708 -1.11881423 1.39023733 0.770137 -0.637877 -0.001378
0.65382653 -1.16117811 1.16998899 0.671273 -0.741051 0.015351
0.67518049 -1.14365339 1.91479802 0.676032 -0.736861 -0.004147
0.62328345 -1.18624413 1.63453186 0.621279 -0.783230 0.023734
0.70669907 -1.11778677 1.66854978 0.713431 -0.683137 -0.156016
0.69529939 -1.12714231 1.65715504 0.642205 -0.766502 -0.006905
0.62865669 -1.18183446 1.91888499 0.633537 -0.773712 0.001374
0.68230939 -1.13780284 1.03389299 0.724826 -0.688930 -0.001381
0.58910239 -1.21429574 1.85867786 0.571352 -0.820368 0.023518
0.64130455 -1.17145455 1.95655036 0.633537 -0.773712 0.001374
0.61360943 -1.19418335 2.03774214 0.633537 -0.773712 0.001374
0.57043731 -1.22961366 1.43158674 0.621510 -0.783405 0.001372
0.57233638 -1.22805524 1.37104273 0.612421 -0.790530 -0.001370
0.59539646 -1.20913041 1.41983771 0.621510 -0.783405 0.001372
0.68095464 -1.13891470 0.27972734 0.736673 -0.669034 0.098517
0.60123175 -1.20434141 0.58584738 0.628547 -0.777741 -0.006907
0.59088755 -1.21283066 1.60530305 0.561683 -0.826496 0.037631
